"","hhID","circuitLabels","nFiles","minObsDate","maxObsDate","minFileDate","maxFileDate","nObs"
"1","rf_01","Heating$1633, Hot water$1636, Kitchen power$1632, Lights$1635, Mains$1634, Range$1637",3,2014-01-05 11:00:00,2015-10-20 02:50:00,2016-09-20 02:58:11,2016-09-30 00:16:15,855836
"2","rf_06","Hot Water - Controlled$2248, Incomer - Uncontrolled$2249, Kitchen$2246, Laundry, Downstairs & Lounge$2245, Lighting$2244, Oven & Hob$2247",256,2014-06-08 12:00:00,2018-07-19 11:59:00,2016-05-25 10:26:07,2018-07-19 16:03:06,3108716
"3","rf_45","Heat Pump$4160, Hot Water - Controlled$4158, Incomer - Uncontrolled$4157, Kitchen Appliances$4161, Laundry & Garage Fridge$4162, Lighting$4159",4,2015-03-24 11:00:00,2016-10-15 01:08:00,2016-06-08 03:01:50,2017-11-21 01:20:05,821472
"4","rf_46","Heat Pumps (2x) & Power$4232, Heat Pumps (2x) & Power$4399, Hot Water - Controlled$4231, Hot Water - Controlled$4400, Incomer - Uncontrolled$4230, Incomer - Uncontrolled$4401, Incomer Voltage$4405, Kitchen & Bedrooms$4229, Kitchen & Bedrooms$4402, Laundry & Bedrooms$4228, Laundry & Bedrooms$4403, Lighting$4233, Lighting$4404",411,2015-03-26 11:00:00,2018-02-19 22:08:00,2016-06-08 03:11:57,2018-02-21 15:03:24,2529107
"5","rf_47","Heat Pump & 2 x Bathroom Heat$4171, Incomer - All$4170, Kitchen Power & Heat, Lounge$4174, Laundry, Garage & 2 Bedrooms$4173, Lighting$4172, Wall Oven$4169",3,2015-03-24 11:00:00,2016-05-08 02:38:00,2016-05-25 04:53:18,2016-09-20 02:51:12,1180942
