file,hhID,fileName,fullPath,fSize,fMTime,fMDate,dateColName,dateExample,dateFormat
rf_06/17Jan2018-18Jan2018at1.csv,rf_06,17Jan2018-18Jan2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17Jan2018-18Jan2018at1.csv,153983,2018-01-18T15:03:05Z,2018-01-18,date UTC,2018-01-16,ymd - definite
rf_06/17Jul2017-18Jul2017at1.csv,rf_06,17Jul2017-18Jul2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17Jul2017-18Jul2017at1.csv,2751,2017-07-18T16:03:04Z,2017-07-18,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/17Jul2018-18Jul2018at1.csv,rf_06,17Jul2018-18Jul2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17Jul2018-18Jul2018at1.csv,156618,2018-07-18T16:03:04Z,2018-07-18,date UTC,2018-07-16,ymd - definite
rf_06/17Jun2017-18Jun2017at1.csv,rf_06,17Jun2017-18Jun2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17Jun2017-18Jun2017at1.csv,2751,2017-06-18T16:03:03Z,2017-06-18,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/17Jun2018-18Jun2018at1.csv,rf_06,17Jun2018-18Jun2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17Jun2018-18Jun2018at1.csv,156924,2018-06-18T16:03:05Z,2018-06-18,date UTC,2018-06-16,ymd - definite
rf_06/17Mar2017-18Mar2017at1.csv,rf_06,17Mar2017-18Mar2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17Mar2017-18Mar2017at1.csv,2751,2017-03-18T15:03:04Z,2017-03-18,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/17Mar2018-18Mar2018at1.csv,rf_06,17Mar2018-18Mar2018at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17Mar2018-18Mar2018at1.csv,155425,2018-03-18T15:03:04Z,2018-03-18,date UTC,2018-03-16,ymd - definite
rf_06/17May2017-18May2017at1.csv,rf_06,17May2017-18May2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17May2017-18May2017at1.csv,2751,2017-05-18T16:03:03Z,2017-05-18,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/17Nov2017-18Nov2017at1.csv,rf_06,17Nov2017-18Nov2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17Nov2017-18Nov2017at1.csv,156377,2017-11-18T15:03:04Z,2017-11-18,date UTC,2017-11-16,ymd - definite
rf_06/17Oct2017-18Oct2017at1.csv,rf_06,17Oct2017-18Oct2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17Oct2017-18Oct2017at1.csv,2751,2017-10-18T14:54:46Z,2017-10-18,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
rf_06/17Sep2017-18Sep2017at1.csv,rf_06,17Sep2017-18Sep2017at1.csv,~/Data/NZGreenGrid/gridspy/1min_orig/rf_06/17Sep2017-18Sep2017at1.csv,2751,2017-09-18T16:03:05Z,2017-09-18,Unknown - ignore as fsize ( 2751 ) < dataThreshold ( 3000 ),,
